,Probe_Id,ILMN_Gene
264,ILMN_1714197,ACSS2
265,ILMN_1813270,ELF5
266,ILMN_1770676,CAPRIN1
267,ILMN_2225608,FAM135A
268,ILMN_1887819,HS.97418
269,ILMN_1698578,LOC440978
270,ILMN_1808512,TPSD1
271,ILMN_1855204,HS.131465
272,ILMN_1761833,SLC40A1
273,ILMN_1749474,FAM7A1
274,ILMN_1773505,USP4
275,ILMN_2137789,KLF4
276,ILMN_1698753,PRDM13
277,ILMN_1859160,HS.117299
278,ILMN_1793072,LOC651362
279,ILMN_1755507,VARS
280,ILMN_1690880,CTAGE5
281,ILMN_1675836,LOC643582
282,ILMN_1826566,HS.570821
283,ILMN_2198393,KATNA1
284,ILMN_1900110,HS.570308
285,ILMN_1657033,LOC647519
286,ILMN_1748783,LOC643240
287,ILMN_1718013,CPSF3L
288,ILMN_1680617,PLXNA2
289,ILMN_1887017,HS.553158
290,ILMN_2059173,SLC35E1
291,ILMN_1656942,PRICKLE3
292,ILMN_1800008,ACAT1
293,ILMN_1700889,LOC388199
294,ILMN_1668080,LOC651849
295,ILMN_1890320,HS.517572
296,ILMN_1907725,HS.536633
297,ILMN_1804652,PLEKHH3
298,ILMN_1728517,FNTB
299,ILMN_1760927,LOC651630
300,ILMN_1671362,UBE2J2
301,ILMN_1749083,FAM27L
302,ILMN_1691228,C20ORF197
303,ILMN_1906063,HS.544195
304,ILMN_1669012,LOC643302
305,ILMN_1855809,HS.573214
306,ILMN_1837559,HS.563887
307,ILMN_1696230,RAB43
308,ILMN_1685012,EAF1
309,ILMN_1745076,CLINT1
310,ILMN_1711278,ARHGDIG
311,ILMN_1900886,HS.570523
312,ILMN_1916475,HS.439161
313,ILMN_1671392,KCNF1
314,ILMN_1848193,HS.517224
315,ILMN_1899502,HS.537061
316,ILMN_1759973,NDUFA5
317,ILMN_1868005,HS.579537
318,ILMN_1707734,NNAT
319,ILMN_2329667,MYO7B
320,ILMN_2372398,ALDH5A1
321,ILMN_1866246,HS.534492
322,ILMN_1702257,ATP4B
323,ILMN_1690870,LOC401056
324,ILMN_1760890,SEPN1
325,ILMN_1659207,LOC645225
326,ILMN_1691151,CHKA
327,ILMN_2082593,KIR3DL3
328,ILMN_1736860,LOC399898
329,ILMN_1789887,PSPN
330,ILMN_1673605,PRSSL1
331,ILMN_1778684,BRE
332,ILMN_1849079,HS.441374
333,ILMN_1752249,FAM38A
334,ILMN_1814164,LOC644946
335,ILMN_1851063,HS.120193
336,ILMN_1750636,RPS26L
337,ILMN_1768127,EBNA1BP2
338,ILMN_1683441,NCAPD3
339,ILMN_1652786,LOC338805
340,ILMN_1711156,LOC645895
341,ILMN_1731804,LOC606724
342,ILMN_1904950,HS.541975
343,ILMN_1778457,IL18
344,ILMN_2409167,ANXA2
345,ILMN_1705392,SMAD1
346,ILMN_1687240,LOC653397
347,ILMN_1656925,LOC401180
348,ILMN_1698541,LOC646997
349,ILMN_1705252,KLK8
350,ILMN_1839481,HS.123119
351,ILMN_1892537,HS.569284
352,ILMN_1675281,LOC642380
353,ILMN_1710553,TMEM151A
354,ILMN_2334242,CREB1
355,ILMN_1859741,HS.540464
356,ILMN_2379240,RGS11
357,ILMN_1836167,HS.544366
358,ILMN_1888492,HS.544576
359,ILMN_1904151,HS.565362
360,ILMN_1769449,LOC153364
361,ILMN_1852846,HS.545776
362,ILMN_1698749,QKI
363,ILMN_1681497,UACA
364,ILMN_1667490,MGC40489
365,ILMN_1657680,CCDC69
366,ILMN_1807372,ADORA2A
367,ILMN_1680685,LOC649800
368,ILMN_2253720,DHX30
369,ILMN_1836543,HS.124547
370,ILMN_1800468,KLKB1
371,ILMN_1703153,N-PAC
372,ILMN_1890821,HS.129329
373,ILMN_1917022,HS.545632
374,ILMN_1727080,MYO6
375,ILMN_2389013,ADRM1
376,ILMN_2109708,ECGF1
377,ILMN_1854620,HS.333045
378,ILMN_1859238,HS.541093
379,ILMN_1858168,HS.291354
380,ILMN_1676941,LOC642809
